customer_no,total_enq_amt,total_enq_count
1275,843699151.0,66
1276,137112901.0,95
1277,1134000.0,9
1278,22540502.0,24
1279,3124150.0,38
1280,2089900.0,7
1281,136000.0,11
1282,2582000.0,17
1283,941100.0,20
1284,193150.0,8
1285,2276000.0,29
1286,4642520.0,25
1287,1583900.0,21
1288,3856111.0,20
1289,233000.0,9
1290,3019601.0,45
1291,200604000.0,13
1292,759500.0,22
1293,100331101.0,21
1294,3830000.0,23
1295,9124100.0,43
1296,5333000.0,37
1297,134000.0,5
1298,1940000.0,9
1299,2740451.0,28
1300,406334401.0,138
1301,226470100.0,31
1302,577651.0,16
1303,631000.0,9
1304,1595000.0,12
1305,485000.0,17
1306,1024000.0,20
1307,1246000.0,16
1308,152000.0,7
1309,374622.0,12
1310,8105100.0,36
1311,98100.0,5
1312,101000.0,3
1313,796929.0,9
1314,338000.0,9
1315,344330.0,7
1316,52000.0,3
1317,467000.0,13
1318,1285000.0,20
1319,3387997.0,36
1320,1229000.0,12
1321,1749251.0,28
1322,187000.0,7
1323,1212000.0,7
1324,6712010.0,16
1325,4958500.0,38
1326,102000.0,4
1327,395000.0,5
1328,235000.0,11
1329,62000.0,4
1330,50000.0,1
1331,13464452.0,33
1332,0.0,0
1333,241000.0,7
1334,4103768.0,21
1335,412000.0,7
1336,3338683.0,13
1337,996000.0,13
1338,119686100.0,17
1339,218101.0,5
1340,510000.0,6
1341,3268610.0,25
1342,78000.0,6
1343,201637250.0,44
1344,435000.0,3
1345,2117000.0,6
1346,60000.0,2
1347,15461000.0,22
1348,102530749.0,15
1349,332000.0,10
1350,636003.0,17
1351,2653200.0,30
1352,2252150.0,25
1353,4039956.0,19
1354,2793243.0,35
1355,8459000.0,15
1356,108450057.0,58
1357,1695000.0,16
1358,87000.0,2
1359,875000.0,6
1360,473000.0,12
1361,1274500.0,15
1362,323610.0,8
1363,2122001.0,25
1364,822500.0,9
1365,6275100.0,27
1366,509500.0,6
1367,1376000.0,14
1368,4012500.0,5
1369,4883000.0,40
1370,1736000.0,10
1371,4272000.0,23
1372,842000.0,12
1373,1150000.0,7
1374,3175000.0,55
1375,4281150.0,42
1376,2016000.0,16
1377,1424006.0,10
1378,52000.0,3
1379,1490000.0,11
1380,3248679.0,23
1381,3242000.0,40
1382,802000.0,10
1383,101000.0,3
1384,841000.0,12
1385,110000.0,3
1386,442000.0,13
1387,631000.0,7
1388,10427000.0,33
1389,4945990.0,10
1390,1926000.0,9
1391,171000.0,6
1392,51000.0,2
1393,879910.0,8
1394,2930000.0,33
1395,4592000.0,18
1396,313000.0,8
1397,5875500.0,23
1398,4823652.0,32
1399,9760000.0,31
1400,78466257.0,73
1401,2526200.0,27
1402,12304100.0,39
1403,167000.0,10
